zip_code_prefix,city,state,mean_lat,mean_lng,city_idx,state_idx
1001,sao paulo,SP,-23.5501897765517,-46.6340235559042,3580,26
1003,sao paulo,SP,-23.5489937248131,-46.6357313099758,3580,26
1004,sao paulo,SP,-23.549798842277,-46.6347569437897,3580,26
1005,sao paulo,SP,-23.5494561998307,-46.6367329480369,3580,26
1006,sao paulo,SP,-23.5501018114528,-46.6361367351741,3580,26
1007,sao paulo,SP,-23.5500462023516,-46.6372514596376,3580,26
1008,sao paulo,SP,-23.5460017493834,-46.6358859213577,3580,26
1009,sao paulo,SP,-23.5468352083208,-46.6364906953122,3580,26
1011,sao paulo,SP,-23.5469086402511,-46.6355820263604,3580,26
1012,sao paulo,SP,-23.5477897331468,-46.6348590050573,3580,26
1013,sao paulo,SP,-23.5471420283239,-46.634235800061994,3580,26
1014,sao paulo,SP,-23.545912805690403,-46.6336153712449,3580,26
1015,sao paulo,SP,-23.5476657493834,-46.6315585707226,3580,26
1016,sao paulo,SP,-23.5489764070299,-46.6323519295585,3580,26
1017,sao paulo,SP,-23.5495312719478,-46.6310238455522,3580,26
1019,sao paulo,SP,-23.5517741378075,-46.6308933827013,3580,26
1020,sao paulo,SP,-23.5523356515514,-46.6300497098457,3580,26
1021,sao paulo,SP,-23.5430004590648,-46.6321432338624,3580,26
1022,sao paulo,SP,-23.5449218261534,-46.6319313356119,3580,26
1023,sao paulo,SP,-23.5423307843614,-46.6313734043876,3580,26
1024,sao paulo,SP,-23.5414014327802,-46.6299040005727,3580,26
1025,sao paulo,SP,-23.5402919456763,-46.6309280594194,3580,26
1026,sao paulo,SP,-23.5396571272709,-46.6318842127058,3580,26
1027,sao paulo,SP,-23.5380823283853,-46.6306686750678,3580,26
1030,sao paulo,SP,-23.5395492917534,-46.6330232515135,3580,26
1031,sao paulo,SP,-23.5419058534404,-46.6350876169166,3580,26
1032,sao paulo,SP,-23.5401244545599,-46.635193543797605,3580,26
1033,sao paulo,SP,-23.5392714370778,-46.6358780842148,3580,26
1035,sao paulo,SP,-23.5416144887389,-46.6415491425265,3580,26
1036,sao paulo,SP,-23.5416484523362,-46.64144327735929,3580,26
1037,sao paulo,SP,-23.545411016454,-46.6389243720483,3580,26
1038,sao paulo,SP,-23.5439073796276,-46.6399938060939,3580,26
1039,sao paulo,SP,-23.5413708577719,-46.6391652888511,3580,26
1040,sao paulo,SP,-23.5410281790088,-46.6383246949694,3580,26
1041,sao paulo,SP,-23.5439045874603,-46.6400464864447,3580,26
1042,sao paulo,SP,-23.5448529495317,-46.6404104560316,3580,26
1043,sao paulo,SP,-23.5457659911863,-46.6415024645414,3580,26
1044,sao paulo,SP,-23.5455982384234,-46.6414526701531,3580,26
1045,sao paulo,SP,-23.5423453661785,-46.6425269757011,3580,26
1046,sao paulo,SP,-23.5459300391688,-46.6439975177818,3580,26
1047,sao paulo,SP,-23.546187607081702,-46.6410674335616,3580,26
1048,sao paulo,SP,-23.5471131888407,-46.6398398748963,3580,26
1049,sao paulo,SP,-23.547011236746,-46.639165704933,3580,26
1050,sao paulo,SP,-23.5492291635805,-46.64303023455151,3580,26
1102,sao paulo,SP,-23.5255714069557,-46.6302874843939,3580,26
1103,sao paulo,SP,-23.535468446052096,-46.6302907733834,3580,26
1105,sao paulo,SP,-23.5340939817758,-46.6290776801733,3580,26
1106,sao paulo,SP,-23.5302207751378,-46.6282212595307,3580,26
1107,sao paulo,SP,-23.5260878920313,-46.6295898871866,3580,26
1108,sao paulo,SP,-23.5272321713254,-46.6303544181998,3580,26
1120,sao paulo,SP,-23.5301625297531,-46.639511411663,3580,26
1121,sao paulo,SP,-23.5278666589988,-46.6352569204928,3580,26
1122,sao paulo,SP,-23.5311305965386,-46.6383248261419,3580,26
1123,sao paulo,SP,-23.5291645437106,-46.6365823926747,3580,26
1124,sao paulo,SP,-23.5282212338257,-46.6330954010969,3580,26
1125,sao paulo,SP,-23.5272884495716,-46.6401643235087,3580,26
1126,sao paulo,SP,-23.5270665493375,-46.6391527868084,3580,26
1127,sao paulo,SP,-23.5254808033666,-46.6415954885264,3580,26
1129,sao paulo,SP,-23.5240513854643,-46.64507304012991,3580,26
1131,sao paulo,SP,-23.522379737671,-46.6431078473664,3580,26
1132,sao paulo,SP,-23.5215398793043,-46.6487392333172,3580,26
1134,sao paulo,SP,-23.5188999398782,-46.6526903364366,3580,26
1135,sao paulo,SP,-23.5261904267291,-46.6509700412022,3580,26
1136,sao paulo,SP,-23.5239869201817,-46.6613513504577,3580,26
